"","workerid","story_index","story","language","education","assess","OS","Browser","comments","lab_name","mouse_name","age","gender","enjoyment","screenW","screenH","variable","rating","version"
"81",4,2,"story2","English",2,"Yes","Windows","Chrome","","Nellie","Snarp",28,"Male",1,1920,1080,"A",0.035,"counterfactual"
"82",4,2,"story2","English",2,"Yes","Windows","Chrome","","Nellie","Snarp",28,"Male",1,1920,1080,"B",0,"counterfactual"
"83",4,2,"story2","English",2,"Yes","Windows","Chrome","","Nellie","Snarp",28,"Male",1,1920,1080,"C",0.06,"counterfactual"
"84",4,4,"story4","English",2,"Yes","Windows","Chrome","","Fred","Weyland",28,"Male",1,1920,1080,"C",1,"counterfactual"
"85",4,4,"story4","English",2,"Yes","Windows","Chrome","","Fred","Weyland",28,"Male",1,1920,1080,"D",1,"counterfactual"
"86",4,4,"story4","English",2,"Yes","Windows","Chrome","","Fred","Weyland",28,"Male",1,1920,1080,"A",1,"counterfactual"
"87",4,4,"story4","English",2,"Yes","Windows","Chrome","","Fred","Weyland",28,"Male",1,1920,1080,"B",0.25,"counterfactual"
"88",4,1,"story1","English",2,"Yes","Windows","Chrome","","Ilana","Tondam",28,"Male",1,1920,1080,"A",1,"counterfactual"
"89",4,1,"story1","English",2,"Yes","Windows","Chrome","","Ilana","Tondam",28,"Male",1,1920,1080,"B",0.445,"counterfactual"
"90",4,3,"story3b","English",2,"Yes","Windows","Chrome","","Ronald","Runcible",28,"Male",1,1920,1080,"C",0.055,"counterfactual"
"91",4,3,"story3b","English",2,"Yes","Windows","Chrome","","Ronald","Runcible",28,"Male",1,1920,1080,"B",0.325,"counterfactual"
"92",4,3,"story3b","English",2,"Yes","Windows","Chrome","","Ronald","Runcible",28,"Male",1,1920,1080,"A",0,"counterfactual"
"93",5,4,"story4","English",3,"Yes","Mac","Chrome","","Martha","Tondam",31,"Female",2,1280,800,"B",0.91,"counterfactual"
"94",5,4,"story4","English",3,"Yes","Mac","Chrome","","Martha","Tondam",31,"Female",2,1280,800,"D",0.86,"counterfactual"
"95",5,4,"story4","English",3,"Yes","Mac","Chrome","","Martha","Tondam",31,"Female",2,1280,800,"C",0.99,"counterfactual"
"96",5,4,"story4","English",3,"Yes","Mac","Chrome","","Martha","Tondam",31,"Female",2,1280,800,"A",0.905,"counterfactual"
"97",5,3,"story3a","English",3,"Yes","Mac","Chrome","","Fred","Muckenhoupt",31,"Female",2,1280,800,"A",0.175,"counterfactual"
"98",5,3,"story3a","English",3,"Yes","Mac","Chrome","","Fred","Muckenhoupt",31,"Female",2,1280,800,"B",0.875,"counterfactual"
"99",5,5,"story5","English",3,"Yes","Mac","Chrome","","Nellie","Nanber",31,"Female",2,1280,800,"A",0.07,"counterfactual"
"100",5,5,"story5","English",3,"Yes","Mac","Chrome","","Nellie","Nanber",31,"Female",2,1280,800,"C",0.075,"counterfactual"
"101",5,5,"story5","English",3,"Yes","Mac","Chrome","","Nellie","Nanber",31,"Female",2,1280,800,"B",0.095,"counterfactual"
"102",5,5,"story5","English",3,"Yes","Mac","Chrome","","Nellie","Nanber",31,"Female",2,1280,800,"D",0.1,"counterfactual"
